"Date_Time","Time","Sensor","Count"
2016-01-06 01:00:00,1,"Bourke Street Mall (North)",39
2016-01-06 01:00:00,1,"Melbourne Central",182
2016-01-06 02:00:00,2,"Bourke Street Mall (North)",23
2016-01-06 02:00:00,2,"Melbourne Central",81
2016-01-06 03:00:00,3,"Bourke Street Mall (North)",14
2016-01-06 03:00:00,3,"Melbourne Central",45
2016-01-06 04:00:00,4,"Bourke Street Mall (North)",6
2016-01-06 04:00:00,4,"Melbourne Central",36
2016-01-06 05:00:00,5,"Bourke Street Mall (North)",24
2016-01-06 05:00:00,5,"Melbourne Central",57
2016-01-06 06:00:00,6,"Bourke Street Mall (North)",50
2016-01-06 06:00:00,6,"Melbourne Central",114
2016-01-06 07:00:00,7,"Bourke Street Mall (North)",149
2016-01-06 07:00:00,7,"Melbourne Central",305
2016-01-06 08:00:00,8,"Bourke Street Mall (North)",359
2016-01-06 08:00:00,8,"Melbourne Central",618
2016-01-06 09:00:00,9,"Bourke Street Mall (North)",504
2016-01-06 09:00:00,9,"Melbourne Central",642
2016-01-06 10:00:00,10,"Bourke Street Mall (North)",914
2016-01-06 10:00:00,10,"Melbourne Central",993
2016-01-06 11:00:00,11,"Bourke Street Mall (North)",1550
2016-01-06 11:00:00,11,"Melbourne Central",1519
2016-01-06 12:00:00,12,"Bourke Street Mall (North)",1942
2016-01-06 12:00:00,12,"Melbourne Central",2352
2016-01-06 13:00:00,13,"Bourke Street Mall (North)",2148
2016-01-06 13:00:00,13,"Melbourne Central",2481
2016-01-06 14:00:00,14,"Bourke Street Mall (North)",1924
2016-01-06 14:00:00,14,"Melbourne Central",2355
2016-01-06 15:00:00,15,"Bourke Street Mall (North)",1828
2016-01-06 15:00:00,15,"Melbourne Central",2197
2016-01-06 16:00:00,16,"Bourke Street Mall (North)",1857
2016-01-06 16:00:00,16,"Melbourne Central",2300
2016-01-06 17:00:00,17,"Bourke Street Mall (North)",1970
2016-01-06 17:00:00,17,"Melbourne Central",2461
2016-01-06 18:00:00,18,"Bourke Street Mall (North)",1442
2016-01-06 18:00:00,18,"Melbourne Central",2372
2016-01-06 19:00:00,19,"Bourke Street Mall (North)",817
2016-01-06 19:00:00,19,"Melbourne Central",2132
2016-01-06 20:00:00,20,"Bourke Street Mall (North)",348
2016-01-06 20:00:00,20,"Melbourne Central",1827
2016-01-06 21:00:00,21,"Bourke Street Mall (North)",232
2016-01-06 21:00:00,21,"Melbourne Central",1658
2016-01-06 22:00:00,22,"Bourke Street Mall (North)",231
2016-01-06 22:00:00,22,"Melbourne Central",1206
2016-01-06 23:00:00,23,"Bourke Street Mall (North)",120
2016-01-06 23:00:00,23,"Melbourne Central",820
2016-01-07 00:00:00,0,"Bourke Street Mall (North)",63
2016-01-07 00:00:00,0,"Melbourne Central",375
2016-01-07 01:00:00,1,"Bourke Street Mall (North)",43
2016-01-07 01:00:00,1,"Melbourne Central",185
2016-01-07 02:00:00,2,"Bourke Street Mall (North)",20
2016-01-07 02:00:00,2,"Melbourne Central",84
2016-01-07 03:00:00,3,"Bourke Street Mall (North)",8
2016-01-07 03:00:00,3,"Melbourne Central",50
2016-01-07 04:00:00,4,"Bourke Street Mall (North)",14
2016-01-07 04:00:00,4,"Melbourne Central",30
2016-01-07 05:00:00,5,"Bourke Street Mall (North)",28
2016-01-07 05:00:00,5,"Melbourne Central",71
2016-01-07 06:00:00,6,"Bourke Street Mall (North)",49
2016-01-07 06:00:00,6,"Melbourne Central",127
2016-01-07 07:00:00,7,"Bourke Street Mall (North)",161
2016-01-07 07:00:00,7,"Melbourne Central",360
2016-01-07 08:00:00,8,"Bourke Street Mall (North)",397
2016-01-07 08:00:00,8,"Melbourne Central",681
2016-01-07 09:00:00,9,"Bourke Street Mall (North)",503
2016-01-07 09:00:00,9,"Melbourne Central",599
2016-01-07 10:00:00,10,"Bourke Street Mall (North)",960
2016-01-07 10:00:00,10,"Melbourne Central",944
2016-01-07 11:00:00,11,"Bourke Street Mall (North)",1220
2016-01-07 11:00:00,11,"Melbourne Central",1037
2016-01-07 12:00:00,12,"Bourke Street Mall (North)",2005
2016-01-07 12:00:00,12,"Melbourne Central",2258
2016-01-07 13:00:00,13,"Bourke Street Mall (North)",2340
2016-01-07 13:00:00,13,"Melbourne Central",2536
2016-01-07 14:00:00,14,"Bourke Street Mall (North)",1984
2016-01-07 14:00:00,14,"Melbourne Central",2146
2016-01-07 15:00:00,15,"Bourke Street Mall (North)",1902
2016-01-07 15:00:00,15,"Melbourne Central",2258
2016-01-07 16:00:00,16,"Bourke Street Mall (North)",1902
2016-01-07 16:00:00,16,"Melbourne Central",2224
2016-01-07 17:00:00,17,"Bourke Street Mall (North)",1930
2016-01-07 17:00:00,17,"Melbourne Central",2506
2016-01-07 18:00:00,18,"Bourke Street Mall (North)",1571
